f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	class
20	23	89	35	63	50	53	71	16	8	0
16	89	86	97	49	93	61	6	43	77	1
35	58	20	3	93	48	6	61	75	33	0
62	35	39	64	67	36	89	4	42	64	1
69	68	31	50	72	51	95	51	43	41	1
77	42	65	72	68	60	34	1	89	46	1
83	24	45	32	92	15	80	97	30	89	0
3	81	83	57	96	10	20	6	58	29	1
42	50	84	56	97	23	50	62	22	63	0
88	6	10	74	58	46	31	33	41	9	1
16	29	12	34	35	99	67	75	2	71	0
31	75	5	19	37	78	44	84	37	58	0
37	12	93	70	6	99	14	58	62	65	1
8	40	50	64	78	40	84	68	87	91	1
89	61	2	80	5	47	39	37	20	82	1
32	18	20	47	67	93	63	81	8	42	0
87	50	73	26	65	47	64	69	8	74	0
16	86	18	57	29	11	9	9	96	48	1
72	80	20	81	46	63	96	21	23	72	1
14	65	14	91	50	58	4	18	63	42	1
32	65	43	55	74	36	33	72	65	35	0
32	51	95	60	73	99	34	10	26	78	1
19	57	13	2	21	32	92	61	4	88	0
0	2	52	98	76	43	42	49	12	64	1
84	62	96	93	64	8	62	53	23	17	1
72	9	9	36	3	63	20	61	39	84	0
76	67	72	52	16	60	48	81	17	81	0
50	31	51	59	13	82	83	10	65	76	1
40	77	80	31	32	38	16	60	69	52	0
44	17	19	22	33	41	11	69	55	88	0
82	6	94	6	80	14	57	96	61	0	0
42	50	3	39	85	12	15	93	96	78	0
21	1	95	77	46	4	66	44	57	42	1
0	98	95	93	90	42	81	51	24	91	1
18	78	14	46	40	15	25	90	43	87	0
64	93	97	52	10	53	52	1	5	38	1
32	51	40	68	39	69	72	69	62	2	1
87	12	0	8	75	55	85	82	72	4	0
98	93	86	65	14	36	45	11	87	24	1
41	95	76	84	86	85	95	0	9	83	1
64	66	70	15	11	82	55	77	60	71	0
6	74	30	31	77	80	48	81	3	71	0
38	58	87	97	99	96	33	41	41	97	1
16	77	64	33	46	48	55	84	82	70	0
99	86	31	91	29	35	55	55	28	8	1
19	62	44	80	19	73	94	15	54	25	1
18	59	42	42	28	13	69	97	9	15	0
46	38	34	66	22	74	29	74	3	75	0
65	83	4	74	55	62	78	12	78	18	1
88	77	42	96	96	96	67	39	74	73	1
50	0	35	69	18	83	14	12	25	8	1
94	12	40	59	95	35	39	54	45	0	1
51	41	85	6	95	19	41	91	92	6	0
91	18	0	53	69	79	91	8	99	6	1
48	59	80	32	25	21	68	76	92	66	0
23	78	22	97	77	2	72	4	83	83	1
20	42	33	57	45	60	36	99	17	77	0
16	77	92	29	77	0	89	71	64	31	0
41	4	53	36	71	11	37	75	98	85	0
62	90	35	45	14	74	61	63	23	53	0
44	22	96	90	63	11	29	21	99	5	1
27	42	81	81	29	92	46	5	3	80	1
80	59	83	34	76	56	42	74	89	42	0
21	89	72	5	83	72	54	63	76	96	0
60	37	32	93	89	75	63	10	94	21	1
26	62	58	93	54	51	67	8	43	46	1
95	39	71	46	11	44	9	86	23	68	0
2	11	88	11	85	18	93	91	69	6	0
75	67	18	95	3	47	15	69	92	55	1
76	32	38	37	68	79	84	88	81	72	0
21	10	72	30	59	76	30	75	7	89	0
72	29	79	68	65	20	75	53	45	51	1
30	13	63	79	64	76	57	23	39	95	1
40	55	79	89	21	1	44	51	67	83	1
9	94	67	30	95	13	21	76	6	50	0
76	30	46	27	12	60	11	94	52	70	0
58	90	84	80	99	38	67	4	96	34	1
76	44	11	67	56	55	36	31	25	32	1
5	58	60	48	92	58	43	84	25	88	0
93	3	35	67	44	33	8	71	54	40	0
40	80	52	56	64	80	61	75	83	49	0
98	76	84	79	5	36	9	22	62	57	1
45	57	35	52	51	53	21	87	83	22	0
17	70	86	62	26	90	27	46	78	13	1
81	55	82	50	74	50	48	76	0	48	0
69	64	62	70	74	11	15	55	17	31	1
16	84	2	5	8	46	7	86	43	44	0
69	12	44	55	15	21	31	42	75	5	1
48	1	43	78	26	65	39	49	84	0	1
68	51	99	45	6	29	9	63	5	53	0
8	30	58	93	8	70	46	13	29	3	1
5	94	93	59	89	6	90	62	87	16	1
89	39	35	53	65	94	19	68	65	4	0
84	53	12	88	13	94	78	32	44	56	1
67	43	25	86	92	94	4	13	36	5	1
69	10	72	59	1	31	46	27	98	7	1
86	76	31	65	98	73	32	18	65	10	1
13	77	69	18	78	7	3	81	59	76	0
57	4	27	70	69	18	97	4	95	52	1
76	55	72	86	63	52	23	69	54	59	1
64	29	0	67	82	65	34	61	51	46	1
10	80	99	64	16	75	30	14	19	84	1
87	93	38	64	1	76	27	6	56	29	1
44	59	52	65	43	96	3	32	78	45	1
65	44	87	94	4	91	50	46	53	93	1
24	89	44	37	33	46	35	77	51	5	0
58	78	14	74	66	75	3	28	59	86	1
48	79	7	73	67	57	64	48	8	19	1
48	99	72	72	13	97	90	54	15	0	1
97	56	4	57	1	69	34	37	30	31	1
49	53	10	58	83	42	93	13	42	72	1
77	0	69	78	52	71	24	20	55	91	1
49	68	96	97	90	87	75	24	79	57	1
60	16	99	37	2	26	70	88	81	18	0
8	55	40	85	8	99	43	4	61	88	1
87	0	78	52	9	60	72	80	63	8	0
58	78	73	33	9	70	76	99	14	86	0
87	56	50	5	55	31	6	88	6	0	0
79	90	26	29	16	22	40	63	25	54	0
82	16	62	78	46	56	87	31	88	19	1
14	4	10	56	43	43	91	50	29	60	1
10	99	22	51	37	50	51	95	32	64	0
23	61	38	92	74	98	95	22	62	6	1
24	11	87	35	0	72	41	97	12	30	0
33	70	50	30	24	50	30	84	44	79	0
79	27	50	71	1	28	65	9	78	90	1
50	2	50	55	26	53	68	10	51	83	1
69	47	48	92	64	4	54	17	69	10	1
71	76	39	41	59	49	73	72	22	19	0
46	44	40	98	26	12	49	2	77	27	1
97	57	54	50	58	30	61	64	17	21	0
46	76	30	52	51	68	79	75	23	1	0
34	2	35	60	63	37	12	79	49	35	0
74	3	63	51	31	50	95	2	13	59	1
92	81	20	70	7	27	47	34	87	34	1
18	78	53	69	53	43	83	39	43	66	1
17	4	12	17	65	23	67	66	6	2	0
32	39	42	45	4	34	20	85	93	40	0
85	24	57	60	46	67	63	61	64	39	1
72	85	76	49	49	39	72	76	41	52	0
60	87	33	53	91	87	22	95	25	10	0
77	82	45	77	65	68	28	32	86	1	1
35	12	27	8	79	52	9	70	25	50	0
12	14	65	63	43	70	88	97	97	71	0
10	60	71	88	51	90	25	41	27	25	1
76	92	53	91	39	65	89	37	49	95	1
21	92	93	82	29	74	20	7	32	80	1
56	11	24	60	32	79	72	39	51	47	1
47	14	27	50	37	23	68	41	76	46	1
90	4	61	44	6	65	95	68	29	57	0
84	22	12	39	38	27	99	87	85	77	0
89	66	71	87	14	12	18	69	16	97	1
99	60	23	54	96	58	46	99	35	83	0
79	34	50	95	43	90	59	42	72	98	1
31	91	60	97	38	69	7	22	42	97	1
36	51	12	76	65	24	48	58	47	50	1
57	60	92	55	21	14	25	63	40	86	1
90	3	22	43	57	66	25	78	69	18	0
99	63	16	78	66	41	42	42	25	26	1
67	19	93	63	73	83	84	24	8	52	1
84	9	29	95	89	65	41	28	46	63	1
15	97	40	68	40	86	45	86	47	59	0
11	23	75	10	33	8	93	81	30	24	0
65	46	55	87	40	68	99	26	47	69	1
30	12	31	61	27	10	64	88	73	98	0
42	45	57	53	24	58	63	24	67	15	1
69	82	88	69	71	47	3	23	56	14	1
12	5	41	81	17	14	94	4	60	32	1
95	96	23	53	23	74	65	48	12	40	1
67	86	82	99	74	73	92	9	88	52	1
41	12	8	92	22	38	53	49	30	69	1
2	60	79	51	11	3	49	3	63	48	1
84	54	92	67	32	9	82	6	75	20	1
76	20	85	66	4	66	75	11	59	57	1
71	2	99	19	77	72	30	84	42	16	0
22	7	91	51	61	88	85	58	49	7	1
56	48	79	94	77	32	52	10	8	64	1
79	5	55	75	26	34	1	39	98	39	1
70	42	61	60	96	93	42	85	49	6	0
70	42	39	67	69	90	37	52	49	3	1
84	19	60	29	28	32	38	64	64	99	0
2	0	9	36	10	87	50	97	34	29	0
55	36	11	1	2	96	75	63	28	37	0
74	19	46	62	53	99	72	62	32	86	0
46	46	49	45	95	88	97	89	70	51	0
70	18	22	68	9	15	20	52	97	62	1
85	93	90	62	17	6	91	49	81	87	1
97	84	25	69	6	24	61	5	14	65	1
92	77	76	73	13	66	95	32	79	89	1
53	73	81	57	38	1	79	68	48	25	1
51	21	95	99	83	45	80	32	38	86	1
17	50	65	51	21	73	98	21	98	74	1
17	25	6	61	79	13	15	58	30	66	1
4	97	44	93	31	19	29	24	85	96	1
27	85	77	79	15	22	62	29	61	65	1
96	32	16	16	78	7	19	95	13	85	0
2	78	84	97	3	47	10	16	37	35	1
45	7	99	85	83	72	38	20	25	77	1
45	28	91	69	80	70	1	38	50	52	1
33	80	23	54	20	48	10	22	15	41	1
