상점	시도명	시군구명	경도	위도
스타벅스	서울특별시	종로구	126.990207240455	37.5705850186896
스타벅스	서울특별시	서초구	127.019762756075	37.5136626341355
스타벅스	서울특별시	영등포구	126.924863083917	37.5251722235016
이디야	서울특별시	강남구	127.063878213052	37.5100378471739
이디야	서울특별시	마포구	126.923599454067	37.5572017356505
스타벅스	서울특별시	강남구	127.020634740018	37.5161838031466
스타벅스	서울특별시	영등포구	126.89647871302	37.5174497816404
스타벅스	서울특별시	마포구	126.937543279963	37.552426380667
스타벅스	서울특별시	종로구	126.974868861844	37.5697229770514
스타벅스	서울특별시	종로구	126.982159843769	37.5696599190406
스타벅스	서울특별시	강남구	127.057100286394	37.5129393969289
스타벅스	서울특별시	영등포구	126.920219188165	37.527905068142
스타벅스	서울특별시	서초구	127.026828896545	37.4982589797032
이디야	서울특별시	강남구	127.055213389641	37.496615204091
이디야	서울특별시	중구	126.969202890528	37.5635826036441
이디야	서울특별시	서초구	127.021572760891	37.4859161526789
이디야	서울특별시	강남구	127.040513119755	37.5265378643378
스타벅스	서울특별시	강남구	127.051439622604	37.518687851269
이디야	서울특별시	강남구	127.041239849867	37.5166051560388
스타벅스	서울특별시	서초구	127.027735014225	37.4955362431632
이디야	서울특별시	강남구	127.033000493348	37.494128761553
이디야	서울특별시	중구	126.968622139719	37.5671186223597
이디야	서울특별시	영등포구	126.889681386224	37.5196567010522
스타벅스	서울특별시	중구	126.984532402493	37.5641659751905
이디야	서울특별시	중구	127.014331146174	37.5653916533212
이디야	서울특별시	강남구	127.06190405786	37.4933436201599
이디야	서울특별시	영등포구	126.929275063441	37.5204367716676
이디야	서울특별시	서초구	126.99245761598	37.4900145248382
스타벅스	서울특별시	중구	126.975395770913	37.5585276043331
이디야	서울특별시	종로구	126.984521790682	37.5699505724323
스타벅스	서울특별시	서초구	126.982689936644	37.4864978042431
스타벅스	서울특별시	서초구	126.985676893834	37.4972370082012
스타벅스	서울특별시	강남구	127.101842066177	37.4880133628924
스타벅스	서울특별시	강남구	127.052704674305	37.5134718899824
이디야	서울특별시	중구	126.983312623474	37.5656331860355
이디야	서울특별시	강남구	127.035741342646	37.5149114670439
이디야	서울특별시	마포구	126.946358128038	37.5404674503959
스타벅스	서울특별시	중구	126.983715734748	37.5651230629393
스타벅스	서울특별시	강남구	127.033792423212	37.4993703754632
스타벅스	서울특별시	종로구	126.986453481237	37.579437112041
이디야	서울특별시	강남구	127.034941231236	37.4997401884001
스타벅스	서울특별시	마포구	126.949139204869	37.5414563490381
이디야	서울특별시	서초구	127.012347140463	37.4806673259512
스타벅스	서울특별시	서초구	127.023626959081	37.5053148456229
스타벅스	서울특별시	서초구	126.998542320991	37.4992570081851
이디야	서울특별시	종로구	127.00388696535	37.5829644184897
스타벅스	서울특별시	종로구	127.001139623548	37.5835178679667
이디야	서울특별시	서초구	127.014197798445	37.4843861241449
스타벅스	서울특별시	영등포구	126.899952047656	37.5351335863576
스타벅스	서울특별시	강남구	127.021629292234	37.5231842055575
이디야	서울특별시	서초구	127.006957982903	37.5102488124166
이디야	서울특별시	강남구	127.051571721037	37.5243385164378
스타벅스	서울특별시	강남구	127.045116281379	37.4778100339866
이디야	서울특별시	강남구	127.032255003449	37.5115850987019
이디야	서울특별시	종로구	126.98865644043	37.569742784871
이디야	서울특별시	서초구	127.007826111215	37.5044803619627
스타벅스	서울특별시	강남구	127.057908690998	37.5098191857712
이디야	서울특별시	종로구	126.987331021258	37.5706504850648
스타벅스	서울특별시	강남구	127.044549435311	37.5107751239617
이디야	서울특별시	강남구	127.030745538681	37.5146002603752
이디야	서울특별시	영등포구	126.921047769836	37.5300751437533
이디야	서울특별시	중구	126.983083260827	37.5608556864363
이디야	서울특별시	강남구	127.057925714358	37.5057645704233
이디야	서울특별시	강남구	127.046716041969	37.5049537931293
스타벅스	서울특별시	중구	126.979941681875	37.5662979098695
이디야	서울특별시	강남구	127.039391664754	37.4922256105997
스타벅스	서울특별시	종로구	127.002715512416	37.5833599952328
스타벅스	서울특별시	강남구	127.037277378321	37.5018857412981
스타벅스	서울특별시	중구	126.983212088099	37.567200132973
스타벅스	서울특별시	서초구	127.01395530164	37.4942326373696
스타벅스	서울특별시	중구	126.982156500678	37.561586555079
스타벅스	서울특별시	서초구	127.020627628152	37.5115343141544
이디야	서울특별시	중구	126.982911122996	37.5601964424547
이디야	서울특별시	중구	126.975510103913	37.5634032341473
스타벅스	서울특별시	중구	126.980757256014	37.5637640159767
스타벅스	서울특별시	서초구	127.015152866623	37.4874306484335
이디야	서울특별시	강남구	127.065172799171	37.5078134808243
스타벅스	서울특별시	영등포구	126.929088635937	37.5223993583573
이디야	서울특별시	강남구	127.037952943537	37.5223902189029
이디야	서울특별시	강남구	127.048515927976	37.5039411013992
스타벅스	서울특별시	서초구	127.011539185408	37.5016551524635
스타벅스	서울특별시	서초구	127.014217033954	37.4923876590647
이디야	서울특별시	영등포구	126.903914224263	37.5172126661057
이디야	서울특별시	종로구	126.991645690511	37.5696872619054
스타벅스	서울특별시	종로구	126.985982688043	37.5690710988316
이디야	서울특별시	강남구	127.046850137088	37.5237598736832
스타벅스	서울특별시	강남구	127.027896853364	37.5240469060232
이디야	서울특별시	종로구	126.966763285432	37.60579292442
이디야	서울특별시	서초구	127.027403494967	37.494938817542
스타벅스	서울특별시	강남구	127.036420025086	37.5281084112342
이디야	서울특별시	중구	126.985737720211	37.5637618569889
이디야	서울특별시	중구	126.974644933829	37.5629361919446
이디야	서울특별시	서초구	127.036850060857	37.4823203167867
이디야	서울특별시	종로구	126.978892919429	37.5709832679583
이디야	서울특별시	서초구	127.025481611828	37.5001130565393
스타벅스	서울특별시	영등포구	126.927827696628	37.5188107711319
스타벅스	서울특별시	중구	126.972166856166	37.562878601942
