x	y	class
5.1	1.6	math
4.9	1.6	math
4.7	1.5	math
4.6	1.5	math
5	1.4	history
5.4	1.5	history
4.6	1.2	history
5	1.3	english
4.4	1.5	english
4.9	1.3	english
5.4	1.5	english
4.8	1.3	math
4.8	1.3	math
4.3	1.3	math
5.8	1.6	math
5.7	1.9	math
5.4	1.4	history
5.1	1.6	history
5.7	1.4	english
5.1	1.5	english
5.4	1.4	history
5.1	4.7	history
4.6	4.5	history
5.1	4.9	history
4.8	4	english
5	4.6	english
5	4.5	english
5.2	4.7	history
5.2	3.3	history
4.7	4.6	history
4.8	3.9	math
5.4	3.5	math
5.2	4.2	english
5.5	4	english
4.9	4.7	english
5	3.6	english
5.5	4.4	english
4.9	4.5	history
4.4	4.1	history
5.1	4.5	history
5	3.9	history
4.5	4.8	english
4.4	4	english
5	4.9	english
5.1	4.7	english
4.8	4.3	history
5.1	4.4	history
4.6	4.8	history
5.3	5	math
5	4.5	history
7	3.5	math
6.4	3.8	math
6.9	3.7	math
5.5	3.9	history
6.5	5.1	english
5.7	4.5	english
6.3	4.5	history
4.9	4.7	history
6.6	4.4	history
5.2	4.1	history
5	4	history
5.9	4.4	english
6	4.6	english
6.1	4	english
5.6	3.3	english
6.7	4.2	history
5.6	4.2	history
5.8	4.2	math
6.2	4.3	math
5.6	3	math
5.9	4.1	math
6.1	6	english
6.3	5.1	english
6.1	5.9	english
6.4	5.6	history
6.6	5.8	history
6.8	6.6	history
6.7	4.5	english
6	6.3	english
5.7	5.8	english
5.5	6.1	english
5.5	5.1	english
5.8	5.3	history
6	5.5	history
5.4	5	math
6	5.1	math
6.7	5.3	math
6.3	5.5	math
5.6	6.7	math
5.5	6.9	math
5.5	5	history
6.1	5.7	history
5.8	4.9	history
5	6.7	math
5.6	4.9	math
5.7	5.7	math
5.7	6	history
6.2	4.8	history
5.1	4.9	history
5.1	5.6	history
